Date,Cash Price,Basis,Fall Price,Fall Basis
2001-06-06,4.59,-0.03,4.19,-0.25
2001-06-07,4.59,-0.03,4.21,-0.25
2001-06-08,4.64,-0.03,4.24,-0.25
2001-06-11,4.66,-0.06,4.29,-0.25
2001-06-12,4.68,-0.06,4.32,-0.25
2001-06-13,4.67,-0.07,4.31,-0.25
2001-06-14,4.64,-0.07,4.28,-0.25
2001-06-15,4.52,-0.07,4.15,-0.25
2001-06-18,4.57,-0.07,4.2,-0.25
2001-06-19,4.63,-0.07,4.24,-0.25
2001-06-20,4.59,-0.07,4.18,-0.25
2001-06-21,4.54,-0.07,4.16,-0.25
2001-06-22,4.48,-0.07,4.09,-0.25
2001-06-25,4.45,-0.06,4.07,-0.25
2001-06-26,4.51,-0.06,4.14,-0.25
2001-06-27,4.56,-0.06,4.18,-0.25
2001-06-28,4.59,-0.04,4.16,-0.25
2001-06-29,4.77,0.02,4.39,-0.25
2001-07-02,4.85,0.02,4.48,-0.25
2001-07-03,4.86,0.02,4.51,-0.25
2001-07-05,4.9,0.02,4.57,-0.25
2001-07-06,4.91,0.02,4.53,-0.25
2001-07-09,4.99,0.02,4.64,-0.25
2001-07-10,5.05,0.02,4.72,-0.25
2001-07-11,5.11,0.0,4.79,-0.25
2001-07-12,5.23,-0.04,5.0,-0.25
2001-07-13,5.23,-0.04,4.98,-0.25
2001-07-16,5.05,-0.04,4.84,-0.25
2001-07-17,5.2,-0.04,4.99,-0.25
2001-07-18,5.06,-0.04,4.85,-0.25
2001-07-20,4.83,-0.04,4.62,-0.25
2001-07-23,4.94,-0.04,4.73,-0.25
2001-07-24,4.91,-0.04,4.7,-0.25
2001-07-25,5.01,-0.04,4.8,-0.25
2001-07-26,5.0,-0.04,4.79,-0.25
2001-07-27,5.1,-0.04,4.89,-0.25
2001-07-30,4.99,-0.04,4.78,-0.25
2001-07-31,5.09,-0.04,4.88,-0.25
2001-08-01,5.03,-0.04,4.82,-0.25
2001-08-02,4.88,-0.04,4.67,-0.25
2001-08-03,4.82,-0.04,4.61,-0.25
2001-08-06,4.89,-0.04,4.68,-0.25
2001-08-07,4.96,-0.04,4.75,-0.25
2001-08-08,4.98,-0.04,4.77,-0.25
