Date,ADANIPORTS,AMBUJACEM,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BPCL,BHARTIARTL,INDUSTOWER,BOSCHLTD,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GAIL,HCLTECH,HDFCBANK,HEROMOTOCO,HINDALCO,HINDPETRO,HINDUNILVR,HDFC,ICICIBANK,IBULHSGFIN,ITC,IOC,INDUSINDBK,INFY,KOTAKBANK,LUPIN,LT,M&M,MARUTI,NTPC,ONGC,POWERGRID,RELIANCE,SBIN,SUNPHARMA,TCS,TATAMOTORS,TATASTEEL,TECHM,UPL,ULTRACEMCO,VEDL,WIPRO,YESBANK,ZEEL,^NSEI
2013-01-01,132.59339904785156,168.8760223388672,413.945556640625,92.47863006591797,258.4648742675781,1752.84814453125,128.242919921875,79.02308654785156,281.5091857910156,137.81338500976562,8880.6142578125,404.0440979003906,189.06729125976562,1721.81494140625,258.3835144042969,78.68717193603516,134.76478576660156,324.319580078125,1484.139892578125,126.2332992553711,44.90406036376953,459.9351806640625,728.5680541992188,187.93898010253906,,154.88816833496094,43.408531188964844,407.470458984375,233.81944274902344,323.38134765625,587.7484741210938,628.314453125,446.01983642578125,1407.14013671875,93.5573959350586,130.01612854003906,86.6888656616211,389.052978515625,224.4749755859375,353.5127258300781,530.869384765625,309.8193054199219,345.5892333984375,201.99838256835938,80.70210266113281,1973.0439453125,128.53855895996094,137.04779052734375,87.24320983886719,212.81301879882812,
2013-01-02,133.2188262939453,170.92628479003906,409.1632080078125,96.42254638671875,263.04541015625,1810.6903076171875,126.83381652832031,81.27426147460938,280.5914611816406,140.42677307128906,8963.625,406.94775390625,188.41070556640625,1723.64404296875,252.39920043945312,80.30538177490234,135.436279296875,325.6698913574219,1490.3975830078125,127.03315734863281,45.988704681396484,459.8485107421875,740.5073852539062,190.46170043945312,,153.890625,44.27947235107422,416.8569030761719,233.85479736328125,326.83929443359375,587.939697265625,637.84619140625,444.50433349609375,1447.0946044921875,94.76069641113281,133.3922119140625,86.11780548095703,392.4080505371094,226.70449829101562,354.18194580078125,530.5122680664062,311.0419921875,345.5497741699219,203.30728149414062,80.27544403076172,1985.1876220703125,131.32162475585938,135.96009826660156,89.22767639160156,220.24502563476562,5993.25
2013-01-03,133.07449340820312,172.7673797607422,411.47955322265625,96.66156005859375,263.6334228515625,1821.091064453125,130.24856567382812,81.22989654541016,286.6656494140625,142.41294860839844,8900.669921875,404.4312744140625,189.3299102783203,1765.475830078125,252.83233642578125,79.99716186523438,135.58790588378906,323.7746887207031,1476.787109375,126.46855163574219,46.19013595581055,461.4519958496094,739.5452880859375,190.14537048339844,,152.89306640625,44.20620346069336,418.10845947265625,236.76133728027344,325.8442077636719,582.1549682617188,632.9353637695312,443.4624938964844,1433.9932861328125,94.7907943725586,135.91822814941406,86.91730499267578,398.3315124511719,228.65187072753906,350.81170654296875,537.7772827148438,311.1397705078125,348.8227233886719,203.66427612304688,83.38404846191406,1975.04345703125,132.29248046875,137.3585662841797,90.02328491210938,220.29266357421875,6009.5
2013-01-04,132.30471801757812,172.4744873046875,411.9755859375,96.39864349365234,261.54705810546875,1813.4447021484375,130.30963134765625,82.9487533569336,285.7916564941406,144.36427307128906,8841.310546875,402.7858581542969,191.08949279785156,1772.08837890625,249.51307678222656,81.7144546508789,137.34242248535156,321.87945556640625,1476.787109375,124.72774505615234,48.62282943725586,463.4891357421875,732.7227783203125,191.82444763183594,,152.27296447753906,45.769020080566406,414.69085693359375,237.94110107421875,323.5057373046875,577.9957275390625,629.5131225585938,445.7593688964844,1435.9908447265625,95.60301971435547,138.34707641601562,87.52644348144531,398.8406066894531,230.048828125,351.43316650390625,545.5880737304688,308.49884033203125,341.8824768066406,203.91310119628906,82.83548736572266,1991.67431640625,130.5449676513672,139.3785858154297,89.44715881347656,216.33843994140625,6016.14990234375
2013-01-07,134.75839233398438,170.591552734375,411.25958251953125,96.37474822998047,260.3900451660156,1806.2913818359375,130.1170196533203,85.49932861328125,285.6168518066406,144.53854370117188,8825.0869140625,410.7225341796875,189.1986083984375,1770.4468994140625,251.34727478027344,80.65765380859375,136.0102996826172,316.5965576171875,1484.10107421875,126.46855163574219,50.98577880859375,455.42767333984375,719.8211059570312,191.7838897705078,,150.4666290283203,45.785301208496094,415.2684326171875,240.4982147216797,322.6350402832031,572.5455932617188,614.1039428710938,451.86859130859375,1472.3681640625,94.82086944580078,139.9015350341797,87.10765838623047,396.4110412597656,228.28182983398438,355.73553466796875,543.7614135742188,306.3958740234375,347.7185974121094,200.57041931152344,83.6583480834961,1990.5035400390625,131.15982055664062,139.82742309570312,91.12983703613281,212.7177276611328,5988.39990234375
2013-01-08,132.25660705566406,169.04339599609375,411.2362365722656,95.94448852539062,258.0096130371094,1807.56591796875,129.9995880126953,84.44580841064453,288.6758117675781,141.43728637695312,8777.8828125,415.7071533203125,189.22486877441406,1789.7215576171875,247.0424346923828,80.26136779785156,137.4832763671875,317.56787109375,1471.4287109375,125.15118408203125,50.08708572387695,455.5143737792969,734.9969482421875,191.36209106445312,,154.05238342285156,45.801578521728516,417.57904052734375,237.37905883789062,324.77447509765625,571.7328491210938,605.8871459960938,453.83392333984375,1463.30859375,94.73062133789062,140.92166137695312,88.6685791015625,393.6575622558594,230.6640167236328,360.65936279296875,546.0291748046875,307.2762145996094,341.7642517089844,200.4298095703125,83.8716812133789,1969.4837646484375,129.2505340576172,137.4794464111328,91.38590240478516,213.43234252929688,6001.7001953125
2013-01-09,130.0435028076172,164.85914611816406,408.4332275390625,93.9366683959961,255.9896697998047,1774.2257080078125,128.8159637451172,85.5436782836914,291.6910400390625,142.90077209472656,8712.5634765625,414.6424255371094,191.0369873046875,1792.30078125,244.6160125732422,81.59335327148438,137.73231506347656,316.2648620605469,1445.302734375,124.25726318359375,52.04718017578125,450.1399841308594,725.9876708984375,191.50808715820312,,150.70925903320312,46.615543365478516,418.3491516113281,236.06251525878906,322.95843505859375,566.3306274414062,599.2362060546875,456.7464904785156,1458.430419921875,93.67771911621094,141.94178771972656,87.9832992553711,394.6062316894531,233.3884735107422,363.88623046875,536.097412109375,320.1873779296875,333.04962158203125,203.2423858642578,82.89643096923828,1914.080810546875,127.40592956542969,137.099609375,92.21808624267578,212.81301879882812,5971.5
2013-01-10,130.66897583007812,160.46571350097656,408.2974853515625,91.23570251464844,259.4701843261719,1757.987060546875,132.0287322998047,84.46800994873047,288.4573059082031,142.93563842773438,8820.16796875,411.7872009277344,192.06124877929688,1791.5035400390625,248.0457000732422,80.89984893798828,138.9778594970703,320.19744873046875,1446.1240234375,122.37528228759766,51.171722412109375,447.7995910644531,722.0515747070312,191.35397338867188,,151.51806640625,46.58298110961914,424.7512512207031,235.18153381347656,325.32183837890625,559.3984375,598.03759765625,455.254638671875,1460.939208984375,92.53457641601562,146.82376098632812,86.72693634033203,393.3799133300781,234.8964080810547,360.56378173828125,528.4545288085938,326.3984375,331.6300354003906,211.07440185546875,83.44500732421875,1852.435546875,125.10831451416016,136.59889221191406,94.27570343017578,215.14743041992188,5968.64990234375
2013-01-11,126.72388458251953,155.9885711669922,402.37811279296875,88.20008850097656,258.73040771484375,1741.5020751953125,130.10763549804688,82.22794342041016,284.2184753417969,143.1795654296875,8703.9072265625,407.9640808105469,189.43495178222656,1781.9365234375,248.46115112304688,80.23934936523438,139.68185424804688,317.1177062988281,1438.8494873046875,119.55233001708984,50.5131950378418,431.76348876953125,708.0565795898438,188.766357421875,,147.42007446289062,46.35507583618164,414.9796142578125,274.6568603515625,313.4552917480469,561.9322509765625,592.37255859375,444.1728515625,1454.388427734375,91.87276458740234,142.0146484375,86.15587615966797,388.6827392578125,230.4512176513672,353.3931579589844,548.5908203125,323.1706237792969,329.1062927246094,214.04925537109375,81.64689636230469,1836.9754638671875,125.82024383544922,145.00686645507812,91.15726470947266,221.34080505371094,5951.2998046875
2013-01-14,131.15008544921875,159.04306030273438,408.5642395019531,91.80937957763672,262.9032287597656,1721.15283203125,130.9390411376953,82.7602310180664,287.2774658203125,144.81727600097656,8710.43359375,402.9310302734375,188.6470489501953,1794.3172607421875,244.3684844970703,81.659423828125,145.73611450195312,317.1177062988281,1441.78271484375,120.68150329589844,51.125240325927734,438.00457763671875,723.4073486328125,192.2705841064453,,149.84652709960938,46.90043258666992,423.7403564453125,284.2168884277344,312.7338562011719,553.7093505859375,601.2083129882812,442.79949951171875,1430.0908203125,92.68498992919922,148.2810516357422,85.31829833984375,392.22296142578125,231.25608825683594,351.5049133300781,560.4122314453125,320.5296936035156,334.2325439453125,216.78611755371094,84.20692443847656,1820.2471923828125,127.40592956542969,144.73062133789062,92.63875579833984,221.72190856933594,6024.0498046875
