Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,3320.25,3360.0,3320.25,3340.75,3135.805908203125,299232
2015-01-02,3360.0,3383.0,3350.5,3359.60009765625,3153.499755859375,233924
2015-01-05,3382.0,3469.35009765625,3376.050048828125,3447.800048828125,3236.2890625,536747
2015-01-06,3439.0,3439.0,3382.5,3395.25,3186.962646484375,422743
2015-01-07,3400.0,3458.949951171875,3382.050048828125,3437.75,3226.855224609375,369241
2015-01-08,3465.0,3509.550048828125,3444.0,3475.5,3262.289794921875,422022
2015-01-09,3500.0,3507.699951171875,3429.949951171875,3468.199951171875,3255.4375,194054
2015-01-12,3470.0,3483.64990234375,3445.14990234375,3462.89990234375,3250.46240234375,152803
2015-01-13,3483.800048828125,3515.0,3462.10009765625,3468.25,3255.484375,237771
2015-01-14,3471.85009765625,3531.0,3461.300048828125,3516.0,3300.30517578125,429069
2015-01-15,3550.35009765625,3638.64990234375,3540.0,3625.800048828125,3403.369384765625,670686
2015-01-16,3615.25,3625.0,3592.050048828125,3616.60009765625,3394.733642578125,379075
2015-01-19,3627.699951171875,3642.5,3615.199951171875,3626.25,3403.79150390625,192537
2015-01-20,3618.0,3636.0,3584.5,3605.550048828125,3384.361572265625,333315
2015-01-21,3623.0,3690.0,3592.0,3634.699951171875,3411.72314453125,402419
2015-01-22,3648.0,3648.0,3592.10009765625,3597.25,3376.570556640625,318883
2015-01-23,3634.0,3639.75,3575.0,3606.699951171875,3385.440673828125,337571
2015-01-27,3644.949951171875,3704.699951171875,3585.14990234375,3687.89990234375,3461.65966796875,1278436
2015-01-28,3692.0,3758.5,3692.0,3725.800048828125,3497.234619140625,672705
2015-01-29,3745.0,3745.0,3677.0,3688.800048828125,3462.50439453125,603103
2015-01-30,3700.0,3741.0,3626.550048828125,3647.35009765625,3423.597412109375,284786
2015-02-02,3647.35009765625,3725.0,3620.0,3669.449951171875,3444.34130859375,319679
2015-02-03,3708.0,3708.0,3600.0,3607.85009765625,3386.520263671875,220676
2015-02-04,3620.0,3634.0,3550.5,3557.550048828125,3339.30615234375,203545
2015-02-05,3579.0,3597.0,3508.0,3522.699951171875,3306.593994140625,379633
2015-02-06,3529.75,3533.5,3490.0,3502.60009765625,3287.727294921875,198214
